S.No,Date,Item,Season,Amount,Quantity,Order Type,Final Amount
48,2022-05-31,Dum Biryani,Summer,299,1,Offline,299
49,2023-01-01,Joint Biryani,Winter,349,3,Offline,349
50,2023-06-29,Full Meals,Rainy,120,1,Offline,120
51,2022-08-18,Moghlai Biryani,Rainy,349,1,Online,399
52,2023-06-03,Lollipop Biryani,Rainy,329,1,Online,379
53,2023-03-12,Lollipop Biryani,Summer,329,3,Offline,329
54,2022-02-23,Pot Biryani,Winter,399,1,Online,449
55,2022-09-19,Mini Meals,Rainy,80,1,Offline,80
56,2023-07-08,Paneer Biryani,Rainy,319,3,Online,369
57,2023-03-24,Lollipop Biryani,Summer,329,2,Offline,329
58,2023-02-01,Mini Meals,Winter,80,2,Online,130
59,2022-04-04,Fry Piece Biryani,Summer,329,3,Offline,329
60,2022-05-30,Fry Piece Biryani,Summer,329,1,Online,379
61,2022-05-21,Paneer Biryani,Summer,319,1,Online,369
62,2023-04-23,Pot Biryani,Summer,399,1,Offline,399
63,2023-02-20,Joint Biryani,Winter,349,3,Online,399
64,2023-07-01,Paneer Biryani,Rainy,319,1,Offline,319
65,2022-02-09,Lollipop Biryani,Winter,329,3,Online,379
66,2023-02-11,Lollipop Biryani,Winter,329,3,Online,379
67,2022-07-31,Fry Piece Biryani,Rainy,329,2,Online,379
68,2022-09-29,Full Meals,Rainy,120,3,Offline,120
69,2023-03-11,Moghlai Biryani,Summer,349,2,Online,399
70,2023-04-13,Full Meals,Summer,120,2,Online,170
71,2023-02-19,Full Meals,Winter,120,3,Online,170
72,2022-05-07,Mini Meals,Summer,80,1,Online,130
73,2023-01-22,Mini Meals,Winter,80,3,Online,130
74,2023-08-07,Mini Meals,Rainy,80,3,Offline,80
75,2023-02-14,Lollipop Biryani,Winter,329,3,Offline,329
76,2023-03-02,Full Meals,Summer,120,3,Online,170
77,2022-11-20,Pot Biryani,Winter,399,1,Online,449
78,2022-02-03,Fry Piece Biryani,Winter,329,2,Offline,329
79,2023-02-20,Pot Biryani,Winter,399,1,Online,449
80,2023-01-21,Pot Biryani,Winter,399,2,Online,449
81,2023-05-23,Mini Meals,Summer,80,3,Offline,80
82,2023-01-16,Lollipop Biryani,Winter,329,1,Offline,329
83,2022-06-30,Moghlai Biryani,Rainy,349,3,Offline,349
84,2023-04-30,Pot Biryani,Summer,399,1,Online,449
85,2022-08-14,Paneer Biryani,Rainy,319,1,Offline,319
86,2022-03-24,Moghlai Biryani,Summer,349,1,Online,399
87,2022-02-17,Pot Biryani,Winter,399,2,Offline,399
88,2022-05-08,Mini Meals,Summer,80,2,Online,130
89,2022-06-27,Fry Piece Biryani,Rainy,329,3,Offline,329
90,2022-07-31,Mini Meals,Rainy,80,3,Offline,80
91,2022-01-24,Full Meals,Winter,120,2,Online,170
92,2023-05-30,Paneer Biryani,Summer,319,3,Offline,319
93,2022-04-08,Mini Meals,Summer,80,3,Offline,80
94,2023-06-15,Fry Piece Biryani,Rainy,329,2,Online,379
95,2022-01-08,Full Meals,Winter,120,2,Online,170
96,2023-03-27,Mini Meals,Summer,80,2,Offline,80
97,2023-08-09,Paneer Biryani,Rainy,319,3,Offline,319
98,2022-09-16,Dum Biryani,Rainy,299,2,Online,349
99,2022-03-07,Fry Piece Biryani,Summer,329,3,Offline,329
100,2023-03-06,Full Meals,Summer,120,3,Offline,120
101,2023-08-27,Paneer Biryani,Rainy,319,2,Online,369
102,2023-06-13,Mini Meals,Rainy,80,3,Offline,80
103,2022-07-20,Lollipop Biryani,Rainy,329,2,Offline,329
104,2022-09-29,Mini Meals,Rainy,80,1,Online,130
105,2023-04-29,Mini Meals,Summer,80,1,Online,130
106,2022-07-21,Full Meals,Rainy,120,1,Offline,120
107,2022-11-25,Joint Biryani,Winter,349,1,Offline,349
108,2022-08-13,Full Meals,Rainy,120,3,Offline,120
109,2022-07-08,Joint Biryani,Rainy,349,3,Online,399
110,2022-12-04,Full Meals,Winter,120,1,Offline,120
111,2023-04-24,Paneer Biryani,Summer,319,1,Online,369
112,2023-06-17,Paneer Biryani,Rainy,319,1,Online,369
113,2022-10-24,Dum Biryani,Winter,299,3,Online,349
114,2023-06-09,Joint Biryani,Rainy,349,2,Offline,349
115,2022-04-12,Full Meals,Summer,120,2,Offline,120
116,2022-09-28,Full Meals,Rainy,120,3,Offline,120
117,2022-08-01,Fry Piece Biryani,Rainy,329,3,Offline,329
118,2022-02-27,Full Meals,Winter,120,3,Online,170
119,2022-04-30,Mini Meals,Summer,80,2,Online,130
120,2023-05-31,Dum Biryani,Summer,299,2,Online,349
121,2023-03-10,Dum Biryani,Summer,299,1,Offline,299
122,2023-01-19,Pot Biryani,Winter,399,3,Online,449
123,2023-03-27,Mini Meals,Summer,80,1,Offline,80
124,2023-02-18,Mini Meals,Winter,80,1,Online,130
125,2022-10-17,Mini Meals,Winter,80,1,Online,130
126,2022-03-07,Mini Meals,Summer,80,3,Online,130
127,2022-05-23,Joint Biryani,Summer,349,1,Online,399
128,2023-04-21,Full Meals,Summer,120,3,Offline,120
129,2023-05-09,Fry Piece Biryani,Summer,329,3,Offline,329
130,2023-05-18,Mini Meals,Summer,80,2,Offline,80
131,2022-04-01,Paneer Biryani,Summer,319,1,Online,369
132,2022-05-05,Lollipop Biryani,Summer,329,2,Online,379
133,2022-05-16,Fry Piece Biryani,Summer,329,2,Offline,329
134,2023-04-27,Full Meals,Summer,120,3,Offline,120
135,2022-11-16,Dum Biryani,Winter,299,3,Online,349
136,2023-05-31,Full Meals,Summer,120,1,Offline,120
137,2023-02-13,Pot Biryani,Winter,399,2,Offline,399
138,2022-10-31,Paneer Biryani,Winter,319,3,Offline,319
139,2023-05-05,Dum Biryani,Summer,299,3,Online,349
140,2022-12-02,Mini Meals,Winter,80,1,Offline,80
141,2023-08-12,Moghlai Biryani,Rainy,349,1,Offline,349
142,2023-01-03,Moghlai Biryani,Winter,349,2,Online,399
143,2022-02-19,Mini Meals,Winter,80,3,Offline,80
144,2023-05-12,Joint Biryani,Summer,349,2,Offline,349
145,2022-04-19,Mini Meals,Summer,80,1,Online,130
146,2022-07-28,Fry Piece Biryani,Rainy,329,1,Offline,329
147,2023-07-15,Fry Piece Biryani,Rainy,329,3,Offline,329
148,2022-05-25,Dum Biryani,Summer,299,1,Online,349
149,2023-01-27,Full Meals,Winter,120,3,Online,170
150,2023-02-27,Full Meals,Winter,120,3,Offline,120
151,2022-08-19,Paneer Biryani,Rainy,319,2,Online,369
152,2023-01-28,Full Meals,Winter,120,2,Online,170
153,2023-04-06,Moghlai Biryani,Summer,349,3,Offline,349
154,2023-08-11,Dum Biryani,Rainy,299,2,Offline,299
155,2023-07-31,Lollipop Biryani,Rainy,329,3,Online,379
156,2023-04-19,Joint Biryani,Summer,349,1,Online,399
157,2023-07-04,Mini Meals,Rainy,80,1,Offline,80
158,2023-04-22,Paneer Biryani,Summer,319,2,Online,369
159,2022-10-30,Paneer Biryani,Winter,319,3,Online,369
160,2022-08-04,Mini Meals,Rainy,80,2,Offline,80
161,2022-10-12,Full Meals,Winter,120,1,Online,170
162,2023-03-01,Fry Piece Biryani,Summer,329,1,Offline,329
163,2023-05-02,Moghlai Biryani,Summer,349,2,Online,399
164,2022-10-26,Lollipop Biryani,Winter,329,3,Offline,329
165,2022-05-16,Fry Piece Biryani,Summer,329,3,Offline,329
166,2022-09-19,Full Meals,Rainy,120,1,Offline,120
167,2023-07-19,Fry Piece Biryani,Rainy,329,2,Online,379
168,2022-01-05,Full Meals,Winter,120,1,Online,170
169,2022-04-16,Full Meals,Summer,120,3,Online,170
170,2023-05-14,Mini Meals,Summer,80,1,Online,130
171,2022-11-07,Mini Meals,Winter,80,1,Offline,80
172,2023-03-18,Full Meals,Summer,120,1,Offline,120
173,2022-04-28,Mini Meals,Summer,80,2,Online,130
174,2022-04-23,Mini Meals,Summer,80,1,Online,130
175,2023-01-25,Joint Biryani,Winter,349,3,Online,399
176,2022-06-13,Lollipop Biryani,Rainy,329,1,Offline,329
177,2023-03-30,Mini Meals,Summer,80,2,Online,130
178,2022-04-23,Paneer Biryani,Summer,319,3,Online,369
179,2022-07-23,Pot Biryani,Rainy,399,3,Offline,399
180,2022-06-15,Full Meals,Rainy,120,1,Online,170
181,2023-07-15,Fry Piece Biryani,Rainy,329,1,Offline,329
182,2023-07-01,Fry Piece Biryani,Rainy,329,1,Offline,329
183,2023-04-06,Full Meals,Summer,120,3,Offline,120
184,2022-06-05,Mini Meals,Rainy,80,1,Online,130
185,2022-03-22,Paneer Biryani,Summer,319,2,Online,369
186,2022-10-24,Dum Biryani,Winter,299,3,Offline,299
187,2023-08-25,Moghlai Biryani,Rainy,349,3,Offline,349
188,2023-08-01,Full Meals,Rainy,120,1,Online,170
189,2022-08-27,Mini Meals,Rainy,80,3,Online,130
190,2022-11-06,Mini Meals,Winter,80,2,Online,130
191,2022-08-20,Mini Meals,Rainy,80,1,Online,130
192,2023-01-18,Mini Meals,Winter,80,2,Online,130
193,2023-07-08,Full Meals,Rainy,120,1,Offline,120
194,2022-12-25,Pot Biryani,Winter,399,2,Online,449
195,2022-12-14,Dum Biryani,Winter,299,3,Offline,299
196,2023-06-07,Full Meals,Rainy,120,2,Offline,120
197,2023-01-05,Pot Biryani,Winter,399,3,Offline,399
198,2022-08-26,Pot Biryani,Rainy,399,1,Offline,399
199,2022-05-30,Mini Meals,Summer,80,2,Offline,80
200,2022-05-31,Mini Meals,Summer,80,3,Offline,80
201,2023-01-01,Full Meals,Winter,120,2,Online,170
202,2022-11-23,Fry Piece Biryani,Winter,329,3,Online,379
203,2023-05-27,Moghlai Biryani,Summer,349,2,Offline,349
204,2023-01-19,Fry Piece Biryani,Winter,329,2,Online,379
205,2023-03-17,Full Meals,Summer,120,3,Offline,120
206,2022-01-23,Fry Piece Biryani,Winter,329,1,Offline,329
207,2023-08-24,Lollipop Biryani,Rainy,329,2,Online,379
208,2022-12-19,Mini Meals,Winter,80,2,Offline,80
209,2022-07-17,Joint Biryani,Rainy,349,1,Offline,349
210,2023-04-02,Fry Piece Biryani,Summer,329,1,Online,379
211,2022-10-09,Fry Piece Biryani,Winter,329,2,Offline,329
212,2023-01-17,Pot Biryani,Winter,399,2,Offline,399
213,2022-11-03,Joint Biryani,Winter,349,1,Online,399
214,2022-03-04,Full Meals,Summer,120,1,Offline,120
215,2023-08-19,Full Meals,Rainy,120,2,Online,170
216,2023-02-12,Paneer Biryani,Winter,319,3,Offline,319
217,2022-05-11,Paneer Biryani,Summer,319,3,Offline,319
218,2022-09-05,Mini Meals,Rainy,80,2,Online,130
219,2022-08-28,Lollipop Biryani,Rainy,329,2,Offline,329
220,2022-04-19,Fry Piece Biryani,Summer,329,2,Online,379
221,2022-11-30,Paneer Biryani,Winter,319,2,Online,369
222,2022-09-05,Lollipop Biryani,Rainy,329,3,Online,379
223,2023-01-19,Full Meals,Winter,120,1,Online,170
224,2022-02-18,Moghlai Biryani,Winter,349,1,Offline,349
225,2022-08-29,Joint Biryani,Rainy,349,3,Offline,349
226,2023-04-06,Pot Biryani,Summer,399,3,Offline,399
227,2022-08-29,Moghlai Biryani,Rainy,349,1,Offline,349
228,2022-08-18,Full Meals,Rainy,120,2,Offline,120
229,2023-05-24,Joint Biryani,Summer,349,2,Offline,349
230,2022-02-15,Fry Piece Biryani,Winter,329,3,Offline,329
231,2022-10-07,Full Meals,Winter,120,3,Online,170
232,2023-07-19,Fry Piece Biryani,Rainy,329,3,Offline,329
233,2023-07-19,Lollipop Biryani,Rainy,329,1,Offline,329
234,2023-03-21,Joint Biryani,Summer,349,3,Offline,349
235,2023-08-14,Mini Meals,Rainy,80,2,Online,130
236,2022-09-10,Full Meals,Rainy,120,3,Online,170
237,2022-06-19,Fry Piece Biryani,Rainy,329,3,Online,379
238,2023-02-22,Dum Biryani,Winter,299,2,Offline,299
239,2023-03-20,Dum Biryani,Summer,299,2,Offline,299
240,2022-12-07,Lollipop Biryani,Winter,329,3,Online,379
241,2022-05-30,Moghlai Biryani,Summer,349,1,Offline,349
242,2023-05-01,Dum Biryani,Summer,299,1,Online,349
243,2022-01-16,Fry Piece Biryani,Winter,329,2,Online,379
244,2023-01-26,Paneer Biryani,Winter,319,3,Offline,319
245,2023-07-07,Full Meals,Rainy,120,3,Online,170
246,2022-09-06,Fry Piece Biryani,Rainy,329,3,Online,379
247,2022-04-08,Joint Biryani,Summer,349,3,Online,399
248,2022-06-25,Moghlai Biryani,Rainy,349,1,Online,399
249,2022-11-24,Full Meals,Winter,120,3,Online,170
250,2023-08-18,Mini Meals,Rainy,80,3,Online,130
251,2022-03-18,Full Meals,Summer,120,2,Online,170
252,2023-08-23,Paneer Biryani,Rainy,319,1,Online,369
253,2022-10-17,Dum Biryani,Winter,299,3,Online,349
254,2022-10-01,Fry Piece Biryani,Winter,329,2,Online,379
255,2022-07-26,Mini Meals,Rainy,80,3,Offline,80
256,2022-07-28,Mini Meals,Rainy,80,2,Online,130
257,2023-03-08,Full Meals,Summer,120,1,Online,170
258,2022-03-12,Pot Biryani,Summer,399,3,Online,449
259,2023-03-16,Dum Biryani,Summer,299,1,Online,349
260,2022-09-08,Fry Piece Biryani,Rainy,329,2,Offline,329
261,2023-08-10,Full Meals,Rainy,120,1,Offline,120
262,2023-05-29,Mini Meals,Summer,80,3,Online,130
263,2022-05-30,Joint Biryani,Summer,349,2,Offline,349
264,2022-01-13,Mini Meals,Winter,80,1,Online,130
265,2022-05-05,Pot Biryani,Summer,399,1,Offline,399
266,2023-05-10,Pot Biryani,Summer,399,2,Online,449
267,2022-06-22,Dum Biryani,Rainy,299,3,Offline,299
268,2022-01-26,Mini Meals,Winter,80,1,Online,130
269,2023-08-23,Paneer Biryani,Rainy,319,1,Offline,319
270,2022-12-16,Full Meals,Winter,120,1,Online,170
271,2022-03-27,Full Meals,Summer,120,1,Offline,120
272,2022-05-10,Lollipop Biryani,Summer,329,3,Offline,329
273,2023-02-17,Lollipop Biryani,Winter,329,1,Online,379
274,2022-11-07,Dum Biryani,Winter,299,2,Offline,299
275,2023-06-17,Paneer Biryani,Rainy,319,1,Offline,319
276,2022-03-07,Moghlai Biryani,Summer,349,2,Online,399
277,2022-12-11,Full Meals,Winter,120,3,Offline,120
278,2023-03-22,Pot Biryani,Summer,399,1,Online,449
279,2023-04-13,Mini Meals,Summer,80,3,Online,130
280,2022-05-21,Fry Piece Biryani,Summer,329,2,Online,379
281,2023-06-22,Full Meals,Rainy,120,3,Offline,120
282,2022-08-31,Pot Biryani,Rainy,399,2,Offline,399
283,2023-02-07,Full Meals,Winter,120,1,Offline,120
284,2023-07-14,Lollipop Biryani,Rainy,329,3,Online,379
285,2022-05-22,Moghlai Biryani,Summer,349,1,Online,399
286,2022-04-07,Joint Biryani,Summer,349,2,Offline,349
287,2022-03-16,Full Meals,Summer,120,1,Offline,120
288,2022-02-11,Lollipop Biryani,Winter,329,3,Offline,329
289,2023-03-30,Dum Biryani,Summer,299,3,Offline,299
290,2022-05-14,Fry Piece Biryani,Summer,329,2,Offline,329
291,2022-03-17,Joint Biryani,Summer,349,2,Online,399
292,2022-10-23,Fry Piece Biryani,Winter,329,3,Offline,329
293,2022-01-03,Dum Biryani,Winter,299,1,Online,349
294,2022-01-02,Lollipop Biryani,Winter,329,2,Offline,329
295,2022-11-13,Dum Biryani,Winter,299,2,Online,349
296,2022-06-25,Mini Meals,Rainy,80,1,Offline,80
297,2022-01-31,Full Meals,Winter,120,3,Online,170
298,2023-02-18,Moghlai Biryani,Winter,349,1,Online,399
299,2022-02-24,Fry Piece Biryani,Winter,329,3,Online,379
300,2022-10-06,Mini Meals,Winter,80,2,Online,130
301,2022-01-23,Dum Biryani,Winter,299,2,Online,349
302,2022-02-20,Joint Biryani,Winter,349,3,Online,399
303,2023-04-04,Paneer Biryani,Summer,319,1,Online,369
304,2022-02-16,Pot Biryani,Winter,399,3,Offline,399
305,2023-03-24,Mini Meals,Summer,80,3,Online,130
306,2022-09-22,Dum Biryani,Rainy,299,2,Offline,299
307,2023-01-24,Mini Meals,Winter,80,2,Online,130
308,2023-03-17,Mini Meals,Summer,80,1,Offline,80
309,2023-02-08,Dum Biryani,Winter,299,2,Offline,299
310,2022-01-29,Mini Meals,Winter,80,3,Offline,80
311,2023-02-05,Dum Biryani,Winter,299,1,Offline,299
312,2022-05-04,Mini Meals,Summer,80,2,Online,130
313,2022-04-27,Full Meals,Summer,120,2,Online,170
314,2022-05-28,Paneer Biryani,Summer,319,2,Online,369
315,2023-04-26,Lollipop Biryani,Summer,329,1,Online,379
316,2022-01-12,Lollipop Biryani,Winter,329,2,Online,379
317,2022-03-02,Full Meals,Summer,120,1,Online,170
318,2023-03-10,Mini Meals,Summer,80,2,Offline,80
319,2023-08-18,Paneer Biryani,Rainy,319,2,Offline,319
320,2023-04-01,Pot Biryani,Summer,399,1,Offline,399
321,2022-03-28,Paneer Biryani,Summer,319,2,Offline,319
322,2022-09-01,Pot Biryani,Rainy,399,2,Online,449
323,2023-02-01,Joint Biryani,Winter,349,3,Offline,349
324,2022-09-19,Mini Meals,Rainy,80,2,Offline,80
325,2022-12-17,Joint Biryani,Winter,349,3,Offline,349
326,2022-07-15,Dum Biryani,Rainy,299,2,Offline,299
327,2022-04-22,Moghlai Biryani,Summer,349,2,Offline,349
328,2022-12-26,Paneer Biryani,Winter,319,1,Online,369
329,2022-02-16,Mini Meals,Winter,80,1,Online,130
330,2022-06-02,Full Meals,Rainy,120,1,Online,170
331,2023-06-13,Moghlai Biryani,Rainy,349,1,Online,399
332,2022-08-24,Fry Piece Biryani,Rainy,329,1,Offline,329
333,2022-11-01,Fry Piece Biryani,Winter,329,3,Online,379
334,2023-04-13,Dum Biryani,Summer,299,2,Offline,299
335,2022-07-02,Lollipop Biryani,Rainy,329,3,Online,379
336,2022-09-08,Joint Biryani,Rainy,349,2,Online,399
337,2022-10-17,Pot Biryani,Winter,399,2,Offline,399
338,2022-05-13,Paneer Biryani,Summer,319,1,Online,369
339,2022-03-02,Moghlai Biryani,Summer,349,2,Online,399
340,2023-05-28,Dum Biryani,Summer,299,2,Online,349
341,2022-09-14,Joint Biryani,Rainy,349,1,Online,399
342,2023-03-31,Fry Piece Biryani,Summer,329,1,Online,379
343,2023-06-17,Joint Biryani,Rainy,349,2,Online,399
344,2023-06-19,Mini Meals,Rainy,80,2,Offline,80
345,2023-07-08,Paneer Biryani,Rainy,319,3,Offline,319
346,2022-09-03,Fry Piece Biryani,Rainy,329,3,Online,379
347,2022-01-24,Dum Biryani,Winter,299,3,Online,349
348,2023-05-31,Dum Biryani,Summer,299,2,Offline,299
349,2023-06-20,Mini Meals,Rainy,80,3,Offline,80
350,2022-03-09,Moghlai Biryani,Summer,349,3,Online,399
351,2022-02-24,Fry Piece Biryani,Winter,329,3,Offline,329
352,2022-01-28,Moghlai Biryani,Winter,349,3,Online,399
353,2023-01-25,Fry Piece Biryani,Winter,329,3,Online,379
354,2022-09-19,Mini Meals,Rainy,80,2,Online,130
355,2022-01-08,Full Meals,Winter,120,2,Online,170
356,2023-06-17,Full Meals,Rainy,120,3,Online,170
357,2022-01-25,Mini Meals,Winter,80,2,Online,130
358,2023-01-06,Dum Biryani,Winter,299,1,Offline,299
359,2022-07-18,Full Meals,Rainy,120,1,Offline,120
360,2023-07-02,Fry Piece Biryani,Rainy,329,1,Offline,329
361,2022-07-15,Moghlai Biryani,Rainy,349,2,Offline,349
362,2023-07-02,Lollipop Biryani,Rainy,329,2,Online,379
363,2022-03-03,Fry Piece Biryani,Summer,329,2,Offline,329
364,2022-03-20,Lollipop Biryani,Summer,329,3,Offline,329
365,2022-04-14,Moghlai Biryani,Summer,349,3,Online,399
366,2022-03-13,Lollipop Biryani,Summer,329,3,Online,379
367,2022-09-14,Lollipop Biryani,Rainy,329,1,Online,379
368,2023-04-16,Pot Biryani,Summer,399,3,Offline,399
369,2022-06-08,Paneer Biryani,Rainy,319,2,Online,369
370,2022-02-19,Pot Biryani,Winter,399,2,Offline,399
371,2022-05-03,Joint Biryani,Summer,349,2,Offline,349
372,2022-12-14,Mini Meals,Winter,80,2,Online,130
373,2022-02-28,Paneer Biryani,Winter,319,3,Offline,319
374,2022-08-31,Full Meals,Rainy,120,1,Offline,120
375,2022-02-26,Mini Meals,Winter,80,3,Online,130
376,2023-03-25,Pot Biryani,Summer,399,3,Offline,399
377,2022-03-20,Paneer Biryani,Summer,319,1,Offline,319
378,2022-04-21,Mini Meals,Summer,80,3,Offline,80
379,2023-07-28,Fry Piece Biryani,Rainy,329,3,Online,379
380,2022-09-07,Mini Meals,Rainy,80,3,Offline,80
381,2023-05-11,Full Meals,Summer,120,1,Offline,120
382,2023-01-18,Mini Meals,Winter,80,1,Offline,80
383,2022-05-01,Mini Meals,Summer,80,3,Offline,80
384,2023-06-24,Pot Biryani,Rainy,399,3,Offline,399
385,2023-07-04,Joint Biryani,Rainy,349,3,Online,399
386,2022-04-01,Full Meals,Summer,120,2,Offline,120
387,2022-10-11,Pot Biryani,Winter,399,3,Online,449
388,2022-01-02,Full Meals,Winter,120,2,Offline,120
389,2022-11-04,Mini Meals,Winter,80,3,Online,130
390,2023-04-11,Joint Biryani,Summer,349,2,Offline,349
391,2022-07-17,Lollipop Biryani,Rainy,329,1,Online,379
392,2022-06-21,Mini Meals,Rainy,80,1,Online,130
393,2022-02-13,Pot Biryani,Winter,399,2,Online,449
394,2023-02-18,Moghlai Biryani,Winter,349,3,Online,399
395,2023-01-27,Paneer Biryani,Winter,319,3,Online,369
396,2022-02-22,Mini Meals,Winter,80,2,Online,130
397,2022-06-21,Full Meals,Rainy,120,3,Offline,120
398,2022-06-16,Full Meals,Rainy,120,2,Offline,120
399,2023-07-29,Joint Biryani,Rainy,349,2,Online,399
400,2023-07-27,Paneer Biryani,Rainy,319,3,Offline,319
401,2023-08-15,Mini Meals,Rainy,80,2,Offline,80
402,2022-10-29,Pot Biryani,Winter,399,3,Offline,399
403,2023-02-24,Moghlai Biryani,Winter,349,3,Offline,349
404,2022-05-02,Pot Biryani,Summer,399,3,Online,449
405,2023-05-20,Mini Meals,Summer,80,3,Online,130
406,2022-11-28,Full Meals,Winter,120,3,Online,170
407,2022-06-25,Paneer Biryani,Rainy,319,1,Offline,319
408,2022-08-27,Mini Meals,Rainy,80,1,Offline,80
409,2023-04-26,Moghlai Biryani,Summer,349,3,Offline,349
410,2022-08-14,Paneer Biryani,Rainy,319,3,Offline,319
411,2023-06-22,Mini Meals,Rainy,80,1,Offline,80
412,2022-12-10,Pot Biryani,Winter,399,2,Offline,399
413,2023-06-24,Paneer Biryani,Rainy,319,2,Offline,319
414,2022-01-14,Dum Biryani,Winter,299,2,Offline,299
415,2022-03-09,Lollipop Biryani,Summer,329,2,Online,379
416,2022-09-11,Mini Meals,Rainy,80,2,Online,130
417,2023-05-07,Full Meals,Summer,120,2,Online,170
418,2023-02-14,Mini Meals,Winter,80,3,Offline,80
419,2023-08-03,Dum Biryani,Rainy,299,2,Offline,299
420,2023-07-27,Moghlai Biryani,Rainy,349,1,Online,399
421,2022-01-19,Joint Biryani,Winter,349,1,Online,399
422,2023-04-06,Dum Biryani,Summer,299,3,Online,349
423,2022-01-19,Dum Biryani,Winter,299,2,Online,349
424,2022-01-29,Dum Biryani,Winter,299,3,Offline,299
425,2022-03-12,Full Meals,Summer,120,1,Online,170
426,2023-02-05,Mini Meals,Winter,80,3,Offline,80
427,2022-12-21,Mini Meals,Winter,80,1,Offline,80
428,2022-07-02,Lollipop Biryani,Rainy,329,3,Online,379
429,2022-09-02,Moghlai Biryani,Rainy,349,1,Offline,349
430,2023-07-23,Mini Meals,Rainy,80,1,Online,130
431,2022-03-16,Lollipop Biryani,Summer,329,3,Offline,329
432,2022-03-07,Mini Meals,Summer,80,3,Offline,80
433,2022-02-12,Mini Meals,Winter,80,3,Offline,80
434,2022-12-31,Fry Piece Biryani,Winter,329,1,Online,379
435,2023-03-14,Mini Meals,Summer,80,1,Offline,80
436,2023-07-19,Moghlai Biryani,Rainy,349,1,Offline,349
437,2022-10-22,Full Meals,Winter,120,1,Online,170
438,2022-04-20,Moghlai Biryani,Summer,349,2,Online,399
439,2022-04-09,Fry Piece Biryani,Summer,329,2,Offline,329
440,2023-01-27,Full Meals,Winter,120,2,Online,170
441,2022-07-20,Pot Biryani,Rainy,399,2,Offline,399
442,2022-12-09,Joint Biryani,Winter,349,1,Offline,349
443,2023-04-11,Lollipop Biryani,Summer,329,2,Offline,329
444,2022-06-03,Full Meals,Rainy,120,3,Offline,120
445,2023-07-06,Full Meals,Rainy,120,3,Offline,120
446,2022-01-27,Full Meals,Winter,120,2,Online,170
447,2022-07-25,Pot Biryani,Rainy,399,2,Offline,399
448,2023-05-30,Pot Biryani,Summer,399,2,Online,449
449,2023-01-25,Joint Biryani,Winter,349,2,Online,399
